record_id,source_doi,catalyst_composition,metal_elements,primary_metal,is_noble_metal,is_hybrid,carbon_present,support_substrate,electrolyte_type,electrolyte_composition,pH,temperature_C,ir_compensation,potential_vs_RHE,overpotential_eta10_mV,tafel_slope_mV_dec,stability_value,notes,extraction_source
nan_Pd16_1180,,Pd16,['Pd'],Pd,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246Mjc2NDA=, equation: 2.0CH4(g) + 2.0H2O(g) - 2.0H2(g) + * -> 2.0CH3* + 2.0HO*",web
nan_Pd16_1181,,Pd16,['Pd'],Pd,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246Mjg1Mjk=, equation: 2.0CH4(g) + H2O(g) - 2.5H2(g) + * -> 2.0CH2* + HO*",web
nan_Ag16,,Ag16,['Ag'],Ag,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246MjU4MTY=, equation: 3.0H2O(g) - 1.5H2(g) + 0.5N2(g) + * -> 3.0HO* + N*",web
nan_Pd16_1183,,Pd16,['Pd'],Pd,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246MjU3NDA=, equation: H2O(g) - 0.5H2(g) + 1.5N2(g) + * -> HO* + 3.0N*",web
10.1002/cctc.201402128_HH- MoSe2,10.1002/cctc.201402128 ,HH- MoSe2,['Mo'],Mo,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246MjgxMQ==, equation: COOH* -> CO2(g) + H*",web
10.1021/acscatal.3c01249_Mo32N32_1185,10.1021/acscatal.3c01249,Mo32N32,['Mo'],Mo,False,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246NDQ5NjQ4, equation: H2O(g) - 0.5H2(g) + * -> HO*",web
nan_Pt16,,Pt16,['Pt'],Pt,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246MzIwOTM=, equation: 3.0CH4(g) + H2O(g) - 6.5H2(g) + * -> HO* + 3.0C*",web
nan_Pd16_1187,,Pd16,['Pd'],Pd,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246Mjc2NDE=, equation: 3.0CH4(g) + H2O(g) - 2.0H2(g) + * -> 3.0CH3* + HO*",web
nan_Pt16_1188,,Pt16,['Pt'],Pt,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246MzIwOTY=, equation: 2.0CH4(g) + H2O(g) - 4.5H2(g) + * -> HO* + 2.0C*",web
nan_Pd16_1189,,Pd16,['Pd'],Pd,True,False,False,,,,,,not reported,True,,,,"id: UmVhY3Rpb246Mjc2NDQ=, equation: CH4(g) + H2O(g) - H2(g) + * -> CH3* + HO*",web
